,Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1189,2005-0756-ROU,2005,756,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Romania,ROU,Eastern Europe,Europe,Bucuresti province,,,,,,,,36.0,°C,,,,,2005,7.0,27.0,2005,8.0,1.0,13.0,500.0,,,500.0,,,,,,,66.7310579862028,1,2455,,Bucuresti (Adm1). 
1211,2006-0383-NLD,2006,383,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Netherlands (the),NLD,Western Europe,Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groninge, Limburg, Noord-brabant, Noord-holland,Overijssel, Utrecht, Zeeland, Zuit-holland provinces",,,,,,,,34.0,°C,,,,,2006,7.0,15.0,2006,7.0,23.0,1000.0,,,,,,,,,,,68.8837587123464,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1). "
1213,2006-0383-PRT,2006,383,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Portugal,PRT,Southern Europe,Europe,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guadra, Leiria, Lisboa, Portoalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu provinces",,,,,,,,47.0,°C,,,,,2006,7.0,11.0,2006,7.0,17.0,41.0,,,,,,,,,,,68.8837587123464,1,2386;2387;2388;2389;2390;2391;2392;2393;2394;2405;2406;2407;2408;2409;2410;2411;2412;2413,,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa, Portalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu (Adm1). "
1216,2006-0348-ROU,2006,348,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Romania,ROU,Eastern Europe,Europe,"Bucarest, Galati, Mehedinti provinces",,,,,,,,36.0,°C,,,,,2006,6.0,29.0,2006,7.0,,26.0,200.0,,,200.0,,,,,,,68.8837587123464,1,2455;2464;2472,,"Bucuresti, Galati, Mehedinti (Adm1). "
1229,2007-0235-BGR,2007,235,HT-2007-000106,Natural,Meteorological,Extreme temperature ,Heat wave,,,Bulgaria,BGR,Eastern Europe,Europe,"Blagoevgrad, Burgas, Dobrich, Gabrovo, Haskovo, Jambol, Kardzhali, Kustendil, Lovech, Montana, Pazardzhik, Pernik, Pleven, Plovdiv, Razgrad, Ruse, Shumen, Silistra, Sliven, Smoljan, Sofia, Sofia-city, Stara Zagora, Targovishte, Varna, Veliko Tarnovo, Vidin, Vratca provinces",,Wildfire,Drought,,,Yes,,46.0,°C,,,,,2007,6.0,,2007,7.0,,2.0,50.0,,,50.0,,,,,,,70.848792703253,1,702;703;704;705;706;707;708;709;710;711;712;713;714;715;716;717;718;719;720;721;722;723;724;725;726;727;728;729,,"Blagoevgrad, Burgas, Dobrich, Gabrovo, Haskovo, Jambol, Kardzhali, Kustendil, Lovech, Montana, Pazardzhik, Pernik, Pleven, Plovdiv, Razgrad, Ruse, Shumen, Silistra, Sliven, Smoljan, Sofia, Sofia-city, Stara Zagora, Targovishte, Varna, Veliko Tarnovo, Vidin, Vratca (Adm1). "
1232,2007-0235-GRC,2007,235,HT-2007-000106,Natural,Meteorological,Extreme temperature ,Heat wave,,,Greece,GRC,Southern Europe,Europe,"Corfu Isl. (kerkyras district, Ionioi Nisoi province), Sterea Ellada, Peloponnisos, Thessalia, Dytiki Ellada, Attiki, Notio Aigaio province",,Wildfire,,,,,,46.0,°C,,,,,2007,6.0,,2007,7.0,,16.0,,,,,,,,,,,70.848792703253,1;2,1337;1338;1345;1346;1347;40766,16689,"Attiki, Dytiki Ellada, Notio Aigaio, Peloponnisos, Sterea Ellada, Thessalia (Adm1). Kerkyras (Adm2). "
1235,2007-0235-AUT,2007,235,HT-2007-000106,Natural,Meteorological,Extreme temperature ,Heat wave,,,Austria,AUT,Western Europe,Europe,"Burgenland, Karnten, Niederosterreich, Steiermark, Wien provinces",,,,,,,,39.0,°C,,,,,2007,7.0,,2007,7.0,,5.0,,,,,,,,,,,70.848792703253,1,478;479;480;483;486,,"Burgenland, Karnten, Niederosterreich, Steiermark, Wien (Adm1). "
1284,2007-0235-ROU,2007,235,HT-2007-000106,Natural,Meteorological,Extreme temperature ,Heat wave,,,Romania,ROU,Eastern Europe,Europe,"Caras-severin, Dolj, Olt, Teleorman, Giurgiu, Bucuresti, Iasi provinces",,Drought,,,,,,45.0,°C,,,,,2007,6.0,,2007,7.0,,30.0,,,,,,,,,,,70.848792703253,1,2455;2458;2463;2465;2470;2475;2481,,"Bucuresti, Caras-severin, Dolj, Giurgiu, Iasi, Olt, Teleorman (Adm1). "
1285,2007-0235-ITA,2007,235,HT-2007-000106,Natural,Meteorological,Extreme temperature ,Heat wave,,,Italy,ITA,Southern Europe,Europe,"Calabria, Sicilia, Trentino-alto Adige provinces",,Wildfire,,,,,,45.0,°C,,,,,2007,6.0,,2007,6.0,,6.0,,,,,,,,,,,70.848792703253,1,1618;1630;1632,,"Calabria, Sicilia, Trentino-alto Adige (Adm1). "
1295,2007-0235-SVK,2007,235,HT-2007-000106,Natural,Meteorological,Extreme temperature ,Heat wave,,,Slovakia,SVK,Eastern Europe,Europe,"Banska Bystrica, Bratislava, Kosice, Nitra, Presov, Trencin, Trnava, Zilna provinces",,,,,,,,40.0,°C,,,,,2007,7.0,15.0,2007,7.0,22.0,1.0,89.0,,,89.0,,,,,,,70.848792703253,1,2667;2668;2669;2670;2671;2672;2673;2674,,"Banska Bystrica, Bratislava, Kosice, Nitra, Presov, Trencin, Trnava, Zilna (Adm1). "
1384,2011-0329-ITA,2011,329,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Italy,ITA,Southern Europe,Europe,"Milano district (Lombardia province), Torino district (Piemonte province), Trieste district (Friuli-venezia Giulia province), Verona district (Veneto province), Messina district (Sicilia province), Roma district (Lazio province), Napoli district (Campania province)",,,,,,,,47.0,°C,,,,,2011,8.0,17.0,2011,8.0,24.0,10.0,,,,,,,,,,,76.8615953778198,2,,18332;18345;18350;18363;18378;18394;18419,"Messina, Milano, Napoli, Roma, Torino, Trieste, Verona (Adm2). "
1408,2010-0372-RUS,2010,372,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Moska, Moskovskaya Oblast, Volgogradskaya Oblast, Lipetskaya Oblast, Voronezhskaya Oblast provinces",,,,,,,,40.0,°C,,,,,2010,6.0,,2010,8.0,,55736.0,,,,,,,,,400000.0,536845.0,74.5094440781961,1,2530;2534;2535;2572;2574,,"Lipetskaya Oblast, Moskovskaya Oblast, Moskva, Volgogradskaya Oblast, Voronezhskaya Oblast (Adm1). "
1483,2013-0549-GBR,2013,549,,Natural,Meteorological,Extreme temperature ,Heat wave,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,"England, Wales provinces",,,,,,,,40.0,°C,,,,,2013,7.0,,2013,7.0,,760.0,,,,,,,,,,,79.6013094233451,1,3182;3186,,"England, Wales (Adm1). "
1583,2015-0410-BEL,2015,410,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Belgium,BEL,Western Europe,Europe,"Vlaams Gewest, Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne provinces",,,,,,,,,°C,,,,,2015,6.0,30.0,2015,7.0,5.0,410.0,,,,,,,,,,,80.9885789905908,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). "
1590,2015-0410-FRA,2015,410,,Natural,Meteorological,Extreme temperature ,Heat wave,,,France,FRA,Western Europe,Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",,,,,,,,40.0,°C,,,,,2015,6.0,29.0,2015,8.0,9.0,3275.0,,,,,,,,,,,80.9885789905908,1,1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270,,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1). "
1679,2018-0235-ESP,2018,235,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Spain,ESP,Southern Europe,Europe,,,,,,,,,47.0,°C,,,,,2018,8.0,,2018,8.0,,9.0,,,,,,,,,,,85.8030260572654,,,,
1697,2019-0296-BEL,2019,296,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Belgium,BEL,Western Europe,Europe,,,,,,,,,35.0,°C,,,,,2019,6.0,21.0,2020,7.0,1.0,128.0,,,,,,,,,,,87.3580067738847,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). "
1700,2019-0296-DEU,2019,296,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Germany,DEU,Western Europe,Europe,,,,,,,,,39.0,°C,,,,,2019,6.0,24.0,2019,6.0,30.0,4.0,,,,,,,,,,,87.3580067738847,1,1308,,Baden-Wuerttemberg (Adm1). 
1701,2019-0296-ESP,2019,296,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Spain,ESP,Southern Europe,Europe,"Cordoba, Valladolid",,,,,,,,,°C,,,,,2019,6.0,26.0,2019,6.0,30.0,2.0,,,,,,,,,,,87.3580067738847,2,,25778;25799,"C??rdoba, Valladolid (Adm2). "
