DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,BG,2015,998196,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,BG,2016,998206,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,BG,2017,1001019,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,BG,2018,1004376,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,BG,2019,1004845,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,BG,2020,1002258,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,BG,2021,999014,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,BG,2022,993065,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,BY,2013,1460265,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,BY,2014,1488782,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,BY,2015,1518669,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,BY,2016,1549332,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,BY,2017,1579277,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,BY,2018,1594936,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,BY,2019,1603484,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,CH,2013,1200603,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,CH,2014,1212277,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,CH,2015,1224981,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,CH,2016,1236792,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,CH,2017,1254991,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,CH,2018,1269055,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,CH,2019,1283746,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,CH,2020,1294918,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,CH,2021,1306271,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,CH,2022,1319642,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,CY,2013,141794,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,CY,2014,139598,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,CY,2015,139206,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,CY,2016,139538,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,CY,2017,139307,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,CY,2018,140289,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,CY,2019,141204,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,CY,2020,142384,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,CY,2021,143703,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,CY,2022,145284,
ESTAT:YTH_DEMO_010(1.0),03/07/23 23:00:00,A,NR,Y_LT15,T,CZ,2013,1560296,
