DATAFLOW,LAST UPDATE,freq,unit,assist,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,FI,2012,767.5,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,FR,2012,6805.4,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,HU,2012,2072.8,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,IS,2012,40.8,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,IT,2012,7399.5,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,LT,2012,585.5,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,LU,2012,68.3,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,LV,2012,405.4,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,MT,2012,42.1,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,NL,2012,2395.1,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,NO,2012,823.5,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,PL,2012,5805.1,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,PT,2012,1224.5,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,RO,2012,3263.6,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,SE,2012,1165.0,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,SI,2012,320.3,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,SK,2012,814.1,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,UK,2012,10268.5,
