DATAFLOW,LAST UPDATE,freq,levels,deg_urb,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,EL,2014,51.2,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,ES,2014,16.7,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,EU27_2020,2014,35.0,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,EU28,2014,36.2,e
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,FI,2014,24.2,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,FR,2014,47.1,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,HR,2014,50.2,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,HU,2014,40.5,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,IE,2014,48.1,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,IS,2014,36.9,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,IT,2014,28.1,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,LT,2014,50.1,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,LU,2014,24.3,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,LV,2014,40.9,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,MT,2014,38.1,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,NO,2014,44.3,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,PL,2014,40.6,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,PT,2014,37.4,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,RO,2014,25.4,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,SE,2014,43.5,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,SI,2014,49.9,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,SK,2014,39.4,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,TR,2014,53.3,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,MOD,TOTAL,T,TOTAL,PC,UK,2014,44.7,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,AT,2014,54.4,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,BG,2014,47.0,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,CY,2014,54.0,
