,Dis No,Year,Seq,Country,ISO,Region,Location,Associated Dis,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations,Start Date,End Date,Duration,poverty,housing_deprive,forest,elder,population,gdp,unemployment,child_population,disabled,Start_Date,End_Date,Days_over_30,Max_temp,month_length
13,2006-0383-DEU,2006,383,Germany,DEU,Western Europe,"Dresden city (Dresden district, Sachsen province), Brombach lake (Mittelfranken district, Bayern province)",,,2006,7.0,15.0,2006,7.0,23.0,2.0,,,,,68.8837587123464,2,,16530;16560,"Dresden, Mittelfranken (Adm2). ",2006-07-15,2006-07-23,8.0,20.9,1.2,32.4,22.1,83237124.0,36010.0,1.0,11606935.0,14783.8,2006-07-01,2006-07-31,14.0,35.4,0.0
14,2006-0383-ESP,2006,383,Spain,ESP,Southern Europe,"Cataluña/Catalunya, Comunitat Valenciana provinces",,40.0,2006,7.0,15.0,2006,8.0,4.0,21.0,,,,,68.8837587123464,1,2724;2726,,"Cataluña/Catalunya, Comunitat Valenciana (Adm1). ",2006-07-15,2006-08-04,20.0,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,6627937.0,6551.1,2006-07-01,2006-07-31,28.0,38.4,1.0
15,2006-0383-FRA,2006,383,France,FRA,Western Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",,37.0,2006,7.0,15.0,2006,7.0,23.0,1388.0,,,,,68.8837587123464,1,1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270,,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1). ",2006-07-15,2006-07-23,8.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,11877137.0,6805.4,2006-07-01,2006-07-31,10.0,35.6,0.0
16,2005-0820-PRT,2005,820,Portugal,PRT,Southern Europe,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa, Portalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu",,,2005,6.0,,2005,8.0,,462.0,,,,,66.7310579862028,1,2386;2387;2388;2389;2390;2391;2392;2393;2394;2405;2406;2407;2408;2409;2410;2411;2412;2413,,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa, Portalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu (Adm1). ",,,,20.1,3.9,49.9,23.7,10352042.0,19290.0,2.7,1324883.0,1224.5,2005-06-01,2005-06-30,3.0,32.4,2.0
17,2005-0756-ROU,2005,756,Romania,ROU,Eastern Europe,Bucuresti province,,36.0,2005,7.0,27.0,2005,8.0,1.0,13.0,500.0,500.0,,,66.7310579862028,1,2455,,Bucuresti (Adm1). ,2005-07-27,2005-08-01,5.0,34.4,14.3,35.5,19.5,19042455.0,10110.0,2.2,3089023.0,3263.6,2005-07-01,2005-07-31,5.0,32.1,1.0
18,2006-0383-NLD,2006,383,Netherlands (the),NLD,Western Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groninge, Limburg, Noord-brabant, Noord-holland,Overijssel, Utrecht, Zeeland, Zuit-holland provinces",,34.0,2006,7.0,15.0,2006,7.0,23.0,1000.0,,,,,68.8837587123464,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1). ",2006-07-15,2006-07-23,8.0,16.5,1.5,10.9,20.0,17590672.0,43800.0,0.7,2712461.0,2395.1,2006-07-01,2006-07-31,2.0,33.1,0.0
19,2006-0383-PRT,2006,383,Portugal,PRT,Southern Europe,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guadra, Leiria, Lisboa, Portoalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu provinces",,47.0,2006,7.0,11.0,2006,7.0,17.0,41.0,,,,,68.8837587123464,1,2386;2387;2388;2389;2390;2391;2392;2393;2394;2405;2406;2407;2408;2409;2410;2411;2412;2413,,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa, Portalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu (Adm1). ",2006-07-11,2006-07-17,6.0,20.1,3.9,49.9,23.7,10352042.0,19290.0,2.7,1324883.0,1224.5,2006-07-01,2006-07-31,7.0,35.8,0.0
20,2006-0348-ROU,2006,348,Romania,ROU,Eastern Europe,"Bucarest, Galati, Mehedinti provinces",,36.0,2006,6.0,29.0,2006,7.0,,26.0,200.0,200.0,,,68.8837587123464,1,2455;2464;2472,,"Bucuresti, Galati, Mehedinti (Adm1). ",2006-06-29,,,34.4,14.3,35.5,19.5,19042455.0,10110.0,2.2,3089023.0,3263.6,2006-06-01,2006-06-30,5.0,32.3,1.0
22,2007-0235-ROU,2007,235,Romania,ROU,Eastern Europe,"Caras-severin, Dolj, Olt, Teleorman, Giurgiu, Bucuresti, Iasi provinces",Drought,45.0,2007,6.0,,2007,7.0,,30.0,,,,,70.848792703253,1,2455;2458;2463;2465;2470;2475;2481,,"Bucuresti, Caras-severin, Dolj, Giurgiu, Iasi, Olt, Teleorman (Adm1). ",,,,34.4,14.3,35.5,19.5,19042455.0,10110.0,2.2,3089023.0,3263.6,2007-06-01,2007-06-30,11.0,39.1,1.0
23,2007-0235-ITA,2007,235,Italy,ITA,Southern Europe,"Calabria, Sicilia, Trentino-alto Adige provinces",Wildfire,45.0,2007,6.0,,2007,6.0,,6.0,,,,,70.848792703253,1,1618;1630;1632,,"Calabria, Sicilia, Trentino-alto Adige (Adm1). ",,,,24.4,6.1,37.0,23.8,59030133.0,27860.0,4.6,7489795.0,7399.5,2007-06-01,2007-06-30,5.0,33.1,0.0
