,Unnamed: 0,Dis No,Year,Seq,Country,ISO,Region,Location,Associated Dis,Declaration,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations,Start Date,End Date,Duration,poverty,housing_deprive,forest,elder,population,gdp,unemployment,child_population,disabled,Start_Date,End_Date,Days_over_30,Max_temp
3,371,1990-0085-FRA,1990,85,France,FRA,Western Europe,Southwestern,,,40.0,1990,7.0,24.0,1990,7.0,24.0,5.0,,,,,44.6458774383636,,,,,1990-07-24,1990-07-24,0.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,17.499337170707918,0.010026826261373904,1990-07-01,1990-07-31,2.0,32.1
4,543,1995-0157-ESP,1995,157,Spain,ESP,Southern Europe,Andalusia,,,47.0,1995,7.0,25.0,1995,7.0,25.0,30.0,70.0,70.0,,,52.0692986874991,,,,,1995-07-25,1995-07-25,0.0,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,13.973292752773903,0.013811301790089,1995-07-01,1995-07-31,20.0,40.3
5,597,1998-0204-ITA,1998,204,Italy,ITA,Southern Europe,Calabria,,,46.0,1998,7.0,4.0,1998,7.0,4.0,10.0,,,,,55.6998628053472,,,,,1998-07-04,1998-07-04,0.0,24.4,6.1,37.0,23.8,59030133.0,27860.0,4.6,12.688087624671285,0.01253512337503966,1998-07-01,1998-07-31,15.0,35.3
7,622,1996-0362-ROU,1996,362,Romania,ROU,Eastern Europe,,,,40.0,1996,7.0,4.0,1996,7.0,4.0,16.0,200.0,200.0,,,53.5955608540084,,,,,1996-07-04,1996-07-04,0.0,34.4,14.3,35.5,19.5,19042455.0,10110.0,2.2,16.2217686742597,0.01713854647418098,1996-07-01,1996-07-31,11.0,36.4
8,647,1998-0250-ROU,1998,250,Romania,ROU,Eastern Europe,,,,39.0,1998,8.0,3.0,1998,8.0,3.0,20.0,,,,,55.6998628053472,,,,,1998-08-03,1998-08-03,0.0,34.4,14.3,35.5,19.5,19042455.0,10110.0,2.2,16.2217686742597,0.01713854647418098,1998-08-01,1998-08-31,13.0,37.1
9,674,2000-0382-BGR,2000,382,Bulgaria,BGR,Eastern Europe,"Sofia, Sofia-city, Stata Zagora, Blagoevgrad, Vidin provinces",,,43.0,2000,6.0,,2000,7.0,,7.0,,,50.0,85.0,58.8406484917497,1,702;722;723;724;728,,"Blagoevgrad, Sofia, Sofia-city, Stara Zagora, Vidin (Adm1). ",,,,32.2,8.6,48.0,21.7,6838937.0,7250.0,2.3,14.520750812589734,0.020025041903442013,2000-06-01,2000-06-30,4.0,31.8
12,794,2000-0380-ROU,2000,380,Romania,ROU,Eastern Europe,"Bucuresti, Dolj provinces",,,43.0,2000,7.0,,2000,7.0,,6.0,100.0,100.0,,,58.8406484917497,1,2455;2463,,"Bucuresti, Dolj (Adm1). ",,,,34.4,14.3,35.5,19.5,19042455.0,10110.0,2.2,16.2217686742597,0.01713854647418098,2000-07-01,2000-07-31,16.0,39.4
15,982,2003-0391-BEL,2003,391,Belgium,BEL,Western Europe,"Region de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest provinces",Drought,,,2003,8.0,1.0,2003,8.0,15.0,1175.0,,,,,62.8584595000413,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). ",2003-08-01,2003-08-15,14.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,16.62690379951217,0.01337106566463725,2003-08-01,2003-08-31,7.0,34.2
17,996,2003-0391-DEU,2003,391,Germany,DEU,Western Europe,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Nierdersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen provinces",Drought,,,2003,8.0,,2003,8.0,,9355.0,,,1650000.0,2624945.0,62.8584595000413,1,1308;1309;1310;1311;1312;1313;1314;1315;1316;1317;1318;1319;1320;1321;1322;1323,,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen (Adm1). ",,,,20.9,1.2,32.4,22.1,83237124.0,36010.0,1.0,13.944421001379144,0.017761065363094478,2003-08-01,2003-08-31,7.0,33.9
18,997,2003-0391-ESP,2003,391,Spain,ESP,Southern Europe,Andaloucia province,Drought,,40.0,2003,8.0,1.0,2003,8.0,11.0,15090.0,,,880000.0,1399971.0,62.8584595000413,1,2716,,Andalucía (Adm1). ,2003-08-01,2003-08-11,10.0,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,13.973292752773903,0.013811301790089,2003-08-01,2003-08-31,22.0,39.5
